#
#
#   SSP models of high-order Balmer lines (from Worthey & Ottaviani 1997) 
#                 plus Hbeta (Worthey et al.~1994)
#
#    Maraston et al. 2003, A&A, 400, 823
#    
#    Contact: Claudia Maraston (claudia.maraston@port.ac.uk)
#	      Daniel Thomas (daniel.thomas@port.ac.uk)
#
#	      www.dsg.port.ac.uk/~thomasd/tmb
#
#
# Mass-loss on RGB is taken into account, as calibrated in Maraston & Thomas (2000) (cols. 3-7).
# This corresponds to blue Horizontal Branches (HBs).
#
# For the sets [Fe/H]=-2.25, -1.35 and -0.55 also the option of no mass loss, corresponding to red HBs, 
# has been considered col. 8-12). In fact especially at metallicities around -1.5, 
# both morphologies are present (e.g. 2nd parameter effect).
# At metallicities larger than -0.33 the HB is red in these sets of models.
#
# NOTE: for the effect of alpha/Fe enhancement at high metallicities see file "alpha-models.dat"
#       (Thomas, Maraston, Korn, MNRAS Letters, in press)
#
#[Fe/H] t(Gyr)  Hbeta Hdelta_A Hgamma_A Hdelta_F Hgamma_F  Hbeta Hdelta_A Hgamma_A Hdelta_F Hgamma_F  
#  1      2        3      4       5        6        7        8       9        10       11       12 
#
 -2.25  1.000   6.3584  9.9327   9.5778   7.6710   7.4647  6.3802  9.9533   9.6125   7.6917   7.4859 
 -2.25  2.000   4.7867  8.2397   7.3827   6.1034   5.8403  4.8121  8.2572   7.4480   6.1172   5.8753 
 -2.25  3.000   4.3744  7.8203   6.5024   5.6807   5.2656  4.3808  7.8193   6.5299   5.6761   5.2799 
 -2.25  4.000   4.0284  7.2768   5.7200   5.2584   4.7845  4.0189  7.2492   5.6987   5.2363   4.7687 
 -2.25  5.000   3.6983  6.6525   4.8875   4.8223   4.2874  3.6911  6.6258   4.8723   4.8008   4.2750 
 -2.25  6.000   3.4270  6.0915   4.1514   4.4383   3.8522  3.4006  6.0261   4.0673   4.3924   3.7984 
 -2.25  7.000   3.1761  5.5490   3.5463   4.1069   3.4914  3.1448  5.4692   3.4354   4.0491   3.4227 
 -2.25  8.000   2.9885  5.2073   3.2236   3.9041   3.2816  2.9174  5.0013   2.8662   3.7501   3.0743 
 -2.25  9.000   2.8992  4.8919   2.6053   3.8200   3.0239  2.7340  4.6147   2.4399   3.5098   2.8022 
 -2.25 10.000   2.8598  4.9759   2.5290   3.8264   2.9627  2.6341  4.5301   2.2506   3.4293   2.6781 
 -2.25 11.000   2.8836  5.1090   2.7368   3.9094   3.0471  2.5688  4.2820   1.8597   3.3569   2.5043 
 -2.25 12.000   2.8870  5.1788   2.8690   3.9762   3.0937  2.5381  4.1755   1.6853   3.3335   2.4220 
 -2.25 13.000   2.8150  5.0937   2.8382   3.9447   3.0376  2.4879  4.1403   1.7086   3.3097   2.3957 
 -2.25 14.000   2.7353  4.9683   2.6472   3.8725   2.9075  2.4908  4.2398   1.8077   3.3548   2.4240 
